dataset,model,fold,seg_acc,seg_auc,speaker_acc,speaker_auc,n_segments,n_speakers
phrases,LogReg,1,0.640625,0.6786904761904763,0.8125,0.761904761904762,320,16
phrases,LogReg,2,0.559375,0.6437301587301587,0.5625,0.7142857142857142,320,16
phrases,LogReg,3,0.5366666666666666,0.5671428571428572,0.5333333333333333,0.5535714285714286,300,15
phrases,LogReg,4,0.6666666666666666,0.7195535714285713,0.7333333333333333,0.7857142857142857,300,15
phrases,LogReg,5,0.646875,0.702063492063492,0.625,0.7619047619047619,320,16
phrases,SVM_RBF,1,0.65625,0.7367857142857142,0.6875,0.8095238095238095,320,16
phrases,SVM_RBF,2,0.56875,0.6079166666666667,0.5625,0.6825396825396826,320,16
phrases,SVM_RBF,3,0.46,0.4461160714285714,0.4666666666666667,0.42857142857142855,300,15
phrases,SVM_RBF,4,0.6633333333333333,0.72765625,0.7333333333333333,0.7678571428571428,300,15
phrases,SVM_RBF,5,0.628125,0.6920238095238096,0.625,0.7301587301587302,320,16
phrases,RandomForest,1,0.63125,0.6768650793650794,0.8125,0.7777777777777778,320,16
phrases,RandomForest,2,0.525,0.5600992063492063,0.5,0.5714285714285714,320,16
phrases,RandomForest,3,0.4766666666666667,0.49127232142857147,0.4,0.5178571428571428,300,15
phrases,RandomForest,4,0.6966666666666667,0.7545312500000001,0.7333333333333333,0.8392857142857143,300,15
phrases,RandomForest,5,0.628125,0.6957142857142856,0.5625,0.7460317460317459,320,16
phrases,GradientBoosting,1,0.3375,0.3167857142857143,0.3125,0.3015873015873016,320,16
phrases,GradientBoosting,2,0.5125,0.49476190476190474,0.5,0.4920634920634921,320,16
phrases,GradientBoosting,3,0.47333333333333333,0.4558035714285714,0.4666666666666667,0.4107142857142857,300,15
phrases,GradientBoosting,4,0.6566666666666666,0.7515625,0.7333333333333333,0.8035714285714286,300,15
phrases,GradientBoosting,5,0.696875,0.6810317460317461,0.75,0.7142857142857144,320,16
