dataset,model,speaker_auc_mean,speaker_acc_mean,seg_auc_mean,seg_acc_mean,include_age_gender
phrases,GradientBoosting,0.5444444444444445,0.5525,0.5399890873015873,0.5353749999999999,
phrases,LogReg,0.7154761904761905,0.6533333333333333,0.6622361111111111,0.6100416666666666,
phrases,RandomForest,0.6904761904761905,0.6016666666666667,0.6356964285714286,0.5915416666666667,
phrases,SVM_RBF,0.6837301587301587,0.615,0.6420997023809523,0.5952916666666667,
passage_vowels,GradientBoosting,0.6666666666666667,0.64,0.6517434441508082,0.642792526701627,
passage_vowels,LogReg,0.6583333333333334,0.6025,0.6143825607316905,0.5814227573391073,
passage_vowels,RandomForest,0.6496031746031745,0.6775,0.6286834886073056,0.5934047022673695,
passage_vowels,SVM_RBF,0.6694444444444445,0.6375,0.6189628579108273,0.578045502418387,
sustained_vowels,LogReg,0.7364417989417988,0.6771428571428572,0.6724716453177465,0.6582644170589377,1.0
sustained_vowels,SVM_RBF,0.7661375661375662,0.7171428571428571,0.7326393157685908,0.679982440366002,1.0
sustained_vowels,RandomForest,0.7932539682539683,0.7304761904761905,0.7521308709530324,0.6861487632446537,1.0
sustained_vowels,GradientBoosting,0.7351190476190477,0.7314285714285715,0.7251250259088836,0.6562572592161634,1.0
sustained_vowels,LogReg,0.7200396825396825,0.6895238095238095,0.6650659477321584,0.6441267960720015,0.0
sustained_vowels,SVM_RBF,0.7662698412698413,0.7038095238095238,0.7210303592895932,0.6689080940039844,0.0
sustained_vowels,RandomForest,0.8002645502645503,0.7171428571428571,0.7539463093905637,0.6827718834294176,0.0
sustained_vowels,GradientBoosting,0.8006613756613756,0.6628571428571429,0.7072344916825082,0.6717549408508312,0.0
